
6,14,11,0,113,9,3,3,0,11,25,11,1,3,1,0,2,0,20,0,3,1,7,3,0,0,2,7,8,3,0,22,16,10,13,1,18,54,13,1,3,0,0,1,1,6,0,25,1,2,12,17,5,1,2,3,14,0,24,0,0,1,1,23,0,1,6,9,2,1,11,4,40,1,0,0,1,2,0,10,0,1,24,1,1,4,0,4,0,7,20,1,7,1,0,0,0,1,0,9,10,15,0,0,9,1,2,0,0,0,6,1,1,1,17,55,2,12,2,1,8,0,0,8,13,0,1,16,1,0,18,1,1,3,
4,12,12,20,97,15,12,0,0,0,41,0,1,3,0,0,1,0,1,0,2,15,16,0,0,0,0,0,3,9,0,38,7,9,1,4,9,73,50,8,0,9,0,0,0,22,3,20,0,14,60,26,2,0,0,3,0,0,0,0,0,1,0,20,0,0,0,26,31,16,2,22,73,0,0,0,5,0,0,8,2,1,30,13,4,0,0,3,0,18,75,32,10,1,2,1,20,4,13,2,60,18,0,3,8,9,37,2,0,8,60,1,1,0,15,16,1,20,8,0,2,1,45,4,2,0,1,25,0,0,0,6,0,0,
264,28,49,16,339,22,62,1,2,43,60,22,4,7,1,0,20,1,8,18,6,8,16,4,0,4,6,1,3,2,1,41,232,46,3,8,45,104,28,22,1,7,1,17,11,17,8,84,4,40,51,36,16,2,14,17,11,3,2,1,2,13,2,33,1,2,5,23,9,8,18,2,149,8,0,0,2,1,1,3,12,13,77,1,4,8,1,9,0,0,120,106,40,1,19,9,18,3,1,39,67,75,16,11,18,16,48,0,0,8,33,3,3,1,48,11,0,119,9,3,19,1,0,16,5,7,0,60,6,0,4,41,22,13,
47,37,47,14,217,43,17,2,2,9,134,25,4,22,14,8,10,0,22,2,25,15,21,4,2,2,18,7,12,11,0,64,81,38,45,8,45,146,47,10,3,15,1,4,5,30,18,78,5,12,43,50,21,3,2,26,17,3,16,3,7,27,14,67,1,6,26,52,17,31,47,16,149,4,0,0,2,1,1,7,6,4,72,1,11,14,4,3,0,6,114,15,25,5,11,1,13,5,1,13,33,45,2,1,22,32,15,1,0,8,49,5,2,2,42,43,5,44,9,3,24,1,7,19,20,9,2,156,7,2,97,4,10,3,
225,48,15,24,121,6,13,0,0,61,76,19,0,0,1,0,0,0,6,0,0,3,3,1,0,0,33,1,14,5,0,89,113,9,1,3,30,87,6,9,0,13,0,1,4,7,7,14,3,10,15,15,3,1,3,9,0,0,1,0,0,29,7,13,0,3,6,28,0,8,6,1,12,0,0,0,0,0,1,1,2,2,39,1,1,2,0,2,1,1,35,16,9,1,6,4,5,2,3,2,10,38,2,4,3,7,16,1,0,8,38,2,3,1,15,29,0,15,0,0,4,0,10,2,10,0,0,29,60,0,0,3,0,0,
6,14,11,0,113,9,3,3,0,11,25,11,1,3,1,0,2,0,20,0,3,1,7,3,0,0,2,7,8,3,0,22,16,10,13,1,18,54,13,1,3,0,0,1,1,6,0,25,1,2,12,17,5,1,2,3,14,0,24,0,0,1,1,23,0,1,6,9,2,1,11,4,40,1,0,0,1,2,0,10,0,1,24,1,1,4,0,4,0,7,20,1,7,1,0,0,0,1,0,9,10,15,0,0,9,1,2,0,0,0,6,1,1,1,17,55,2,12,2,1,8,0,0,8,13,0,1,16,1,0,18,1,1,3,
4,12,12,20,97,15,12,0,0,0,41,0,1,3,0,0,1,0,1,0,2,15,16,0,0,0,0,0,3,9,0,38,7,9,1,4,9,73,50,8,0,9,0,0,0,22,3,20,0,14,60,26,2,0,0,3,0,0,0,0,0,1,0,20,0,0,0,26,31,16,2,22,73,0,0,0,5,0,0,8,2,1,30,13,4,0,0,3,0,18,75,32,10,1,2,1,20,4,13,2,60,18,0,3,8,9,37,2,0,8,60,1,1,0,15,16,1,20,8,0,2,1,45,4,2,0,1,25,0,0,0,6,0,0,
264,28,49,16,339,22,62,1,2,43,60,22,4,7,1,0,20,1,8,18,6,8,16,4,0,4,6,1,3,2,1,41,232,46,3,8,45,104,28,22,1,7,1,17,11,17,8,84,4,40,51,36,16,2,14,17,11,3,2,1,2,13,2,33,1,2,5,23,9,8,18,2,149,8,0,0,2,1,1,3,12,13,77,1,4,8,1,9,0,0,120,106,40,1,19,9,18,3,1,39,67,75,16,11,18,16,48,0,0,8,33,3,3,1,48,11,0,119,9,3,19,1,0,16,5,7,0,60,6,0,4,41,22,13,
47,37,47,14,217,43,17,2,2,9,134,25,4,22,14,8,10,0,22,2,25,15,21,4,2,2,18,7,12,11,0,64,81,38,45,8,45,146,47,10,3,15,1,4,5,30,18,78,5,12,43,50,21,3,2,26,17,3,16,3,7,27,14,67,1,6,26,52,17,31,47,16,149,4,0,0,2,1,1,7,6,4,72,1,11,14,4,3,0,6,114,15,25,5,11,1,13,5,1,13,33,45,2,1,22,32,15,1,0,8,49,5,2,2,42,43,5,44,9,3,24,1,7,19,20,9,2,156,7,2,97,4,10,3,
225,48,15,24,121,6,13,0,0,61,76,19,0,0,1,0,0,0,6,0,0,3,3,1,0,0,33,1,14,5,0,89,113,9,1,3,30,87,6,9,0,13,0,1,4,7,7,14,3,10,15,15,3,1,3,9,0,0,1,0,0,29,7,13,0,3,6,28,0,8,6,1,12,0,0,0,0,0,1,1,2,2,39,1,1,2,0,2,1,1,35,16,9,1,6,4,5,2,3,2,10,38,2,4,3,7,16,1,0,8,38,2,3,1,15,29,0,15,0,0,4,0,10,2,10,0,0,29,60,0,0,3,0,0,
6,14,11,0,113,9,3,3,0,11,25,11,1,3,1,0,2,0,20,0,3,1,7,3,0,0,2,7,8,3,0,22,16,10,13,1,18,54,13,1,3,0,0,1,1,6,0,25,1,2,12,17,5,1,2,3,14,0,24,0,0,1,1,23,0,1,6,9,2,1,11,4,40,1,0,0,1,2,0,10,0,1,24,1,1,4,0,4,0,7,20,1,7,1,0,0,0,1,0,9,10,15,0,0,9,1,2,0,0,0,6,1,1,1,17,55,2,12,2,1,8,0,0,8,13,0,1,16,1,0,18,1,1,3,
